Australia,1967,28.66,,,,,,18.29,,,,,,6.58,,,,,,4.23,,,,1.51,,,,0.98,,,0.38,,,,,,,10.38,,,,11.7,,,,2.35,,,,2.72,,,,0.53,,,0.6,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.81,34.19,,,,,,,,,,,,,,,,56.86,43.14,,,,,,,,,,,,,,,,36.32,63.68,,,,,,,,,,,,,,,,30.27,69.73,,,,,,,,,,,,,,,,22.05,77.95,,,,,,,,,,,,,,,,12.71,87.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8343.833,8343.833,,,,18766,,,0.0917805,24505.07,,,,,24505.07,70237.13,,,,89620.52,,,,161292.81,,,,207287.23,,,,369654.02,,,,921457.39,,,,19423.73,,,,,,,50853.75,,,,71702.44,,,,115298.39,,,,166695.53,,,,308342.54,,,,,,45907.91,,,,57721.76,,,,102256.23,,,,133233.92,,,,235062.89,,,,534040.47,,,,,,,,,,,,,,,,,,,,,,,2.776,1.563
Australia,1968,28.36,,,,,,17.99,,,,,,6.38,,,,,,4.06,,,,1.4,,,,0.89,,,0.32,,,,,,,10.37,,,,11.61,,,,2.32,,,,2.66,,,,0.51,,,0.57,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.78,35.22,,,,,,,,,,,,,,,,55.46,44.54,,,,,,,,,,,,,,,,34.94,65.06,,,,,,,,,,,,,,,,29.69,70.31,,,,,,,,,,,,,,,,23.05,76.95,,,,,,,,,,,,,,,,16.08,83.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8522.217,8522.217,,,,20929,,,0.0947069,25930.7,,,,,25930.7,73549.72,,,,93300.74,,,,165451.24,,,,210605.33,,,,363226.39,,,,838783.81,,,,20639.7,,,,,,,53798.69,,,,75263.12,,,,120297.14,,,,172450.06,,,,310386.68,,,,,,48404.95,,,,61001.15,,,,107060.21,,,,138140.52,,,,238422.34,,,,518000.4,,,,,,,,,,,,,,,,,,,,,,,2.928,1.519
Australia,1969,27.85,,,,,,17.61,,,,,,6.25,,,,,,4,,,,1.42,,,,0.92,,,0.36,,,,,,,10.24,,,,11.36,,,,2.25,,,,2.58,,,,0.5,,,0.56,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,31.3,,,,,,,,,,,,,,,,60.6,39.4,,,,,,,,,,,,,,,,40.06,59.94,,,,,,,,,,,,,,,,33.13,66.87,,,,,,,,,,,,,,,,23.79,76.21,,,,,,,,,,,,,,,,13.19,86.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716.454,8716.454,,,,23109,,,0.097877,27086.98,,,,,27086.98,75439.33,,,,95400.19,,,,169226.92,,,,216710.26,,,,384440.65,,,,983774.79,,,,21714.5,,,,,,,55478.47,,,,76943.5,,,,121743.58,,,,174777.66,,,,317847.97,,,,,,50229.82,,,,62718.62,,,,108211.72,,,,140249.48,,,,238391.12,,,,539868.55,,,,,,,,,,,,,,,,,,,,,,,2.806,1.554
Australia,1970,27.65,,,,,,17.3,,,,,,5.92,,,,,,3.74,,,,1.26,,,,0.79,,,0.27,,,,,,,10.35,,,,11.38,,,,2.18,,,,2.47,,,,0.47,,,0.52,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.28,26.72,,,,,,,,,,,,,,,,66.06,33.94,,,,,,,,,,,,,,,,46.58,53.42,,,,,,,,,,,,,,,,38.18,61.82,,,,,,,,,,,,,,,,27.1,72.9,,,,,,,,,,,,,,,,19.23,80.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8901.723,8901.723,,,,25641,,,0.1027546,28032.36,,,,,28032.36,77516.31,,,,96986.57,,,,165834.8,,,,209448.63,,,,353601,,,,755049.58,,,,22534.14,,,,,,,58046.04,,,,79774.52,,,,122220.97,,,,173410.54,,,,308995.6,,,,,,52385.94,,,,65404.29,,,,109695.82,,,,141340.54,,,,235035.03,,,,497145.54,,,,,,,,,,,,,,,,,,,,,,,3.041,1.49
Australia,1971,28.24,,,,,,17.59,,,,,,5.92,,,,,,3.7,,,,1.25,,,,0.78,,,0.27,,,,,,,10.65,,,,11.67,,,,2.22,,,,2.46,,,,0.47,,,0.51,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75,25.25,,,,,,,,,,,,,,,,68.01,31.99,,,,,,,,,,,,,,,,48.93,51.07,,,,,,,,,,,,,,,,39.7,60.3,,,,,,,,,,,,,,,,27.08,72.92,,,,,,,,,,,,,,,,18.91,81.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319.988,9319.988,,,,28637,,,0.11055,27794.15,,,,,27794.15,78492.38,,,,97772.6,,,,164632.35,,,,205943.16,,,,346242.86,,,,741454.85,,,,22161.02,,,,,,,59212.16,,,,81057.66,,,,123321.54,,,,170868.23,,,,302330.42,,,,,,53452.37,,,,66822.34,,,,107970.15,,,,140056.54,,,,235302.4,,,,490896.52,,,,,,,,,,,,,,,,,,,,,,,3.097,1.477
Australia,1972,27.8,,,,,,17.5,,,,,,6.06,,,,,,3.81,,,,1.29,,,,0.81,,,0.28,,,,,,,10.3,,,,11.44,,,,2.25,,,,2.53,,,,0.48,,,0.53,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,31.4,,,,,,,,,,,,,,,,59.84,40.16,,,,,,,,,,,,,,,,38.85,61.15,,,,,,,,,,,,,,,,31.53,68.47,,,,,,,,,,,,,,,,20.67,79.33,,,,,,,,,,,,,,,,15.75,84.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9510.934,9510.934,,,,32866,,,0.1154092,29942.17,,,,,29942.17,83230.01,,,,104796.34,,,,181564.71,,,,228424.8,,,,385377.58,,,,835873.1,,,,24021.3,,,,,,,61663.68,,,,85604.24,,,,134704.61,,,,189186.61,,,,335322.53,,,,,,55616.56,,,,69786.65,,,,121539.19,,,,152811.39,,,,260260.63,,,,531277.42,,,,,,,,,,,,,,,,,,,,,,,3.059,1.486
Australia,1973,26.74,,,,,,16.73,,,,,,5.67,,,,,,3.54,,,,1.17,,,,0.73,,,0.24,,,,,,,10.01,,,,11.06,,,,2.13,,,,2.37,,,,0.44,,,0.49,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.87,31.13,,,,,,,,,,,,,,,,59.92,40.08,,,,,,,,,,,,,,,,39,61,,,,,,,,,,,,,,,,31.88,68.12,,,,,,,,,,,,,,,,22.82,77.18,,,,,,,,,,,,,,,,19.08,80.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9691.778,9691.778,,,,41074,,,0.1307971,32401.52,,,,,32401.52,86642.4,,,,108437.05,,,,183791.45,,,,229457.56,,,,378813.91,,,,781457.19,,,,26374.75,,,,,,,64847.75,,,,89598.46,,,,138125.33,,,,192118.47,,,,334075.76,,,,,,58615.75,,,,73035.34,,,,124546.93,,,,157488.25,,,,262519.68,,,,493350.67,,,,,,,,,,,,,,,,,,,,,,,3.184,1.458
Australia,1974,25.87,,,,,,15.87,,,,,,5.22,,,,,,3.24,,,,1.06,,,,0.65,,,0.21,,,,,,,10,,,,10.65,,,,1.98,,,,2.18,,,,0.41,,,0.44,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.77,26.23,,,,,,,,,,,,,,,,65.35,34.65,,,,,,,,,,,,,,,,41.76,58.24,,,,,,,,,,,,,,,,34.56,65.44,,,,,,,,,,,,,,,,24.79,75.21,,,,,,,,,,,,,,,,20.2,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9898.311,9898.311,,,,50902,,,0.151854,33864.72,,,,,33864.72,87604.2,,,,107494.54,,,,176813.55,,,,219743.95,,,,359487.85,,,,723130.23,,,,27893.66,,,,,,,67713.86,,,,90164.78,,,,133883.14,,,,184807.97,,,,319083.15,,,,,,61696.53,,,,75487.96,,,,121119.61,,,,150198.59,,,,241846.93,,,,512876.44,,,,,,,,,,,,,,,,,,,,,,,3.245,1.445
Australia,1975,25.54,,,,,,15.65,,,,,,5.13,,,,,,3.22,,,,1.1,,,,0.68,,,0.23,,,,,,,9.89,,,,10.52,,,,1.92,,,,2.12,,,,0.42,,,0.45,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10073.371,10073.371,,,,59135,,,0.1733161,33871.22,,,,,33871.22,86520.65,,,,106042.67,,,,173923.52,,,,217826.92,,,,371836.26,,,,772749.27,,,,28021.29,,,,,,,66998.63,,,,89072.46,,,,130020.11,,,,179324.59,,,,327290.37,,,,,,60932.66,,,,74857.73,,,,118152.33,,,,147069.61,,,,254093.72,,,,543323.18,,,,,,,,,,,,,,,,,,,,,,,3.03,1.493
Australia,1976,25.2,,,,,,15.35,,,,,,4.99,,,,,,3.11,,,,1.05,,,,0.65,,,0.21,,,,,,,9.84,,,,10.37,,,,1.87,,,,2.07,,,,0.4,,,0.44,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27,24.73,,,,,,,,,,,,,,,,69.19,30.81,,,,,,,,,,,,,,,,51.06,48.94,,,,,,,,,,,,,,,,41.91,58.09,,,,,,,,,,,,,,,,27.61,72.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10245.988,10245.988,,,,68113,,,0.1980178,33571.59,,,,,33571.59,84589.93,,,,103088.28,,,,167374.72,,,,208953.53,,,,351271.29,,,,712236.37,,,,27902.88,,,,,,,66091.58,,,,87016.67,,,,125795.9,,,,173374.09,,,,311164.06,,,,,,60322.5,,,,73669.43,,,,113563.37,,,,141706.59,,,,243041.41,,,,500659.5,,,,,,,,,,,,,,,,,,,,,,,3.106,1.475
Australia,1977,25.15,,,,,,15.25,,,,,,4.92,,,,,,3.08,,,,1.06,,,,0.67,,,,,,,,,,9.9,,,,10.32,,,,1.84,,,,2.02,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10428.589,10428.589,,,,74498,,,0.2166454,32973.84,,,,,32973.84,82915.8,,,,100538.7,,,,162338.55,,,,203197.89,,,,349571.22,,,,,,,,27424.74,,,,,,,65292.89,,,,85088.74,,,,121479.2,,,,166604.55,,,,,,,,,,60036.35,,,,73184.89,,,,109320.58,,,,137635.92,,,,228298.78,,,,,,,,,,,,,,,,,,,,,,,,,,,3.002,1.5
Australia,1978,25.01,,,,,,15.14,,,,,,4.87,,,,,,3.02,,,,1.03,,,,0.65,,,,,,,,,,9.87,,,,10.27,,,,1.85,,,,2,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10616.188,10616.188,,,,82990,,,0.2332483,33514.96,,,,,33514.96,83821.96,,,,101498.25,,,,163244.1,,,,202718.8,,,,344462.41,,,,,,,,27925.3,,,,,,,66145.66,,,,86061.79,,,,123769.41,,,,167282.89,,,,,,,,,,59823.29,,,,74323.04,,,,111102.94,,,,136991.32,,,,229376.01,,,,,,,,,,,,,,,,,,,,,,,,,,,3.084,1.48
Australia,1979,25.17,,,,,,15.2,,,,,,4.83,,,,,,2.97,,,,1.02,,,,0.65,,,,,,,,,,9.97,,,,10.37,,,,1.85,,,,1.96,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.43,22.57,,,,,,,,,,,,,,,,71.12,28.88,,,,,,,,,,,,,,,,49.78,50.22,,,,,,,,,,,,,,,,42.3,57.7,,,,,,,,,,,,,,,,28.04,71.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10797.294,10797.294,,,,92124,,,0.2567351,33233.24,,,,,33233.24,83637.3,,,,101015.89,,,,160383.05,,,,197532.33,,,,337416.42,,,,,,,,27632.79,,,,,,,66258.71,,,,86174.1,,,,123233.77,,,,162561.31,,,,,,,,,,61622.44,,,,73728.58,,,,114148.92,,,,134463.6,,,,222437.76,,,,,,,,,,,,,,,,,,,,,,,,,,,3.096,1.477
Australia,1980,25.39,,,,,,15.31,,,,,,4.79,,,,,,2.95,,,,1.02,,,,0.66,,,,,,,,,,10.08,,,,10.52,,,,1.84,,,,1.93,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.51,20.49,,,,,,,,,,,,,,,,73.5,26.5,,,,,,,,,,,,,,,,53.46,46.54,,,,,,,,,,,,,,,,45.71,54.29,,,,,,,,,,,,,,,,31.03,68.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10984.362,10984.362,,,,104630,,,0.2806264,33943.2,,,,,33943.2,86185.93,,,,103924.1,,,,162541.1,,,,200096.19,,,,345683,,,,,,,,28138.45,,,,,,,68447.76,,,,89269.86,,,,124986,,,,163699.49,,,,,,,,,,63754.36,,,,76879.57,,,,118542.64,,,,138221.97,,,,220500.43,,,,,,,,,,,,,,,,,,,,,,,,,,,3.051,1.487
Australia,1981,25.31,,,,,,15.15,,,,,,4.61,,,,,,2.83,,,,0.96,,,,0.62,,,,,,,,,,10.16,,,,10.54,,,,1.79,,,,1.86,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.38,17.62,,,,,,,,,,,,,,,,76.95,23.05,,,,,,,,,,,,,,,,58.41,41.59,,,,,,,,,,,,,,,,51.61,48.39,,,,,,,,,,,,,,,,35.89,64.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11197.72,11197.72,,,,120459,,,0.3122121,34455.61,,,,,34455.61,87221.38,,,,104419.8,,,,159006.79,,,,194785.08,,,,332445.24,,,,,,,,28592.75,,,,,,,70022.97,,,,90773.05,,,,123228.5,,,,160370.04,,,,,,,,,,64049.64,,,,76561.97,,,,113306.06,,,,134586.02,,,,205560.28,,,,,,,,,,,,,,,,,,,,,,,,,,,3.122,1.471
Australia,1982,25.82,,,,,,15.44,,,,,,4.67,,,,,,2.87,,,,1,,,,0.63,,,,,,,,,,10.38,,,,10.77,,,,1.8,,,,1.87,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.67,15.33,,,,,,,,,,,,,,,,80.02,19.98,,,,,,,,,,,,,,,,64.59,35.41,,,,,,,,,,,,,,,,56.94,43.06,,,,,,,,,,,,,,,,40.23,59.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11439.261,11439.261,,,,132515,,,0.3466328,33419.31,,,,,33419.31,86277.39,,,,103165.81,,,,156027.34,,,,191649.85,,,,332681.77,,,,,,,,27546.19,,,,,,,69388.98,,,,89950.43,,,,120404.82,,,,156391.87,,,,,,,,,,62991.51,,,,75947.96,,,,112581.97,,,,134792.45,,,,215659.88,,,,,,,,,,,,,,,,,,,,,,,,,,,3.041,1.49
Australia,1983,25.32,,,,,,15.16,,,,,,4.68,,,,,,2.89,,,,1.02,,,,0.66,,,,,,,,,,10.16,,,,10.48,,,,1.79,,,,1.87,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.04,16.96,,,,,,,,,,,,,,,,77.85,22.15,,,,,,,,,,,,,,,,62.43,37.57,,,,,,,,,,,,,,,,54.1,45.9,,,,,,,,,,,,,,,,37.68,62.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642.452,11642.452,,,,146104,,,0.3765983,33322.63,,,,,33322.63,84377.94,,,,101061.75,,,,156042.76,,,,192848.61,,,,340484.34,,,,,,,,27649.82,,,,,,,67694.13,,,,87316.5,,,,119236.91,,,,155939.68,,,,,,,,,,63034.7,,,,74205.7,,,,106038.48,,,,129729.3,,,,224339.05,,,,,,,,,,,,,,,,,,,,,,,,,,,2.951,1.513
Australia,1984,25.5,,,,,,15.25,,,,,,4.75,,,,,,2.96,,,,1.03,,,,,,,,,,,,,,10.25,,,,10.5,,,,1.79,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.41,16.59,,,,,,,,,,,,,,,,78.66,21.34,,,,,,,,,,,,,,,,64.5,35.5,,,,,,,,,,,,,,,,56.63,43.37,,,,,,,,,,,,,,,,41.15,58.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11843.586,11843.586,,,,158817,,,0.3863172,34711.2,,,,,34711.2,88503.99,,,,105869.03,,,,164962.22,,,,205369.32,,,,356542.73,,,,,,,,28734.23,,,,,,,71138.95,,,,91095.74,,,,124555.12,,,,167575.97,,,,,,,,,,66891.81,,,,77634.69,,,,118068.46,,,,134517.58,,,,237023.88,,,,,,,,,,,,,,,,,,,,,,,,,,,2.988,1.503
Australia,1985,25.93,,,,,,15.63,,,,,,5.02,,,,,,3.19,,,,1.14,,,,0.75,,,0.35,,,,,,,10.3,,,,10.61,,,,1.83,,,,2.05,,,,0.39,,,0.4,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.56,18.44,,,,,,,,,,,,,,,,76.8,23.2,,,,,,,,,,,,,,,,61.83,38.17,,,,,,,,,,,,,,,,55.85,44.15,,,,,,,,,,,,,,,,39.13,60.87,,,,,,,,,,,,,,,,22.74,77.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12062.771,12062.771,,,,174633,,,0.4179029,34642.07,,,,,34642.07,89829.08,,,,108280.04,,,,173845.6,,,,220922.34,,,,395727.83,,,,1213137.34,,,,28510.18,,,,,,,71378.12,,,,91888.64,,,,126768.86,,,,177220.97,,,,304904.55,,,,,,66856.2,,,,80743.64,,,,116647.32,,,,143751.15,,,,239380.26,,,,634578.79,,,,,,,,,,,,,,,,,,,,,,,2.799,1.556
Australia,1986,26.61,,,,,,16.17,,,,,,5.39,,,,,,3.48,,,,1.29,,,,0.85,,,0.36,,,,,,,10.43,,,,10.78,,,,1.92,,,,2.19,,,,0.44,,,0.49,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.36,20.64,,,,,,,,,,,,,,,,74.35,25.65,,,,,,,,,,,,,,,,59.36,40.64,,,,,,,,,,,,,,,,53.74,46.26,,,,,,,,,,,,,,,,40.06,59.94,,,,,,,,,,,,,,,,25.79,74.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12318.832,12318.832,,,,189421,,,0.4588023,33514.52,,,,,33514.52,89168.93,,,,108403.05,,,,180763.15,,,,232952.73,,,,430982.65,,,,1192934.94,,,,27330.7,,,,,,,69934.82,,,,90313.03,,,,128573.56,,,,183445.25,,,,346321.29,,,,,,65012.99,,,,75926.78,,,,117220.58,,,,139926.54,,,,266634.24,,,,818914.38,,,,,,,,,,,,,,,,,,,,,,,2.65,1.606
Australia,1987,28.66,,,,,,17.94,,,,,,6.67,,,,,,4.53,,,,1.89,,,,1.41,,,0.6,,,,,,,10.71,,,,11.28,,,,2.14,,,,2.63,,,,0.48,,,0.81,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77,24.23,,,,,,,,,,,,,,,,69.21,30.79,,,,,,,,,,,,,,,,51.45,48.55,,,,,,,,,,,,,,,,43.69,56.31,,,,,,,,,,,,,,,,31.4,68.6,,,,,,,,,,,,,,,,13.82,86.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12576.53,12576.53,,,,205912,,,0.4916029,33304.77,,,,,33304.77,95442.87,,,,119526.95,,,,222068.57,,,,301439.59,,,,630063.93,,,,1989364.73,,,,26400.53,,,,,,,71358.8,,,,93891.54,,,,142697.54,,,,219283.51,,,,479030.51,,,,,,65730.6,,,,79209.73,,,,126750.58,,,,172791.67,,,,306200.61,,,,986480.81,,,,,,,,,,,,,,,,,,,,,,,2.208,1.828
Australia,1988,30.28,,,,,,19.84,,,,,,8.41,,,,,,6.04,,,,2.99,,,,2.13,,,0.98,,,,,,,10.44,,,,11.43,,,,2.37,,,,3.05,,,,0.86,,,1.14,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81,30.19,,,,,,,,,,,,,,,,61.25,38.75,,,,,,,,,,,,,,,,38.57,61.43,,,,,,,,,,,,,,,,29.37,70.63,,,,,,,,,,,,,,,,17.36,82.64,,,,,,,,,,,,,,,,5.61,94.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12833.133,12833.133,,,,230688,,,0.5288575,33990.2,,,,,33990.2,102920.21,,,,134872.48,,,,285875.56,,,,410387.9,,,,1015677.01,,,,3344872.5,,,,26331.31,,,,,,,70967.93,,,,97121.72,,,,161363.22,,,,259065.62,,,,756877.51,,,,,,64995.11,,,,79041.16,,,,137685.28,,,,185041.25,,,,411524.87,,,,1563340.49,,,,,,,,,,,,,,,,,,,,,,,1.816,2.225
Australia,1989,27.64,,,,,,17.46,,,,,,6.43,,,,,,4.29,,,,1.79,,,,1.31,,,0.51,,,,,,,10.18,,,,11.03,,,,2.14,,,,2.51,,,,0.48,,,0.8,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,24.7,,,,,,,,,,,,,,,,69.18,30.82,,,,,,,,,,,,,,,,51.71,48.29,,,,,,,,,,,,,,,,45.16,54.84,,,,,,,,,,,,,,,,35.69,64.31,,,,,,,,,,,,,,,,18.18,81.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13089.498,13089.498,,,,257389,,,0.5701621,34488.05,,,,,34488.05,95326.74,,,,120414.83,,,,221782.18,,,,296204.64,,,,616762.6,,,,1771242.22,,,,27728.2,,,,,,,70238.64,,,,95072.99,,,,147359.72,,,,216065.15,,,,488487.09,,,,,,62615.53,,,,80321.69,,,,133202,,,,172217.89,,,,273094.11,,,,872675.03,,,,,,,,,,,,,,,,,,,,,,,2.251,1.799
Australia,1990,27.66,,,,,,17.37,,,,,,6.34,,,,,,4.24,,,,1.79,,,,1.33,,,0.55,,,,,,,10.3,,,,11.03,,,,2.1,,,,2.45,,,,0.46,,,0.78,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,20.5,,,,,,,,,,,,,,,,73.87,26.13,,,,,,,,,,,,,,,,55.88,44.12,,,,,,,,,,,,,,,,48.15,51.85,,,,,,,,,,,,,,,,35.94,64.06,,,,,,,,,,,,,,,,15.32,84.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13310.134,13310.134,,,,264479,,,0.6091954,32617.61,,,,,32617.61,90234.92,,,,113295.12,,,,206683.29,,,,276309.33,,,,582601.09,,,,1796100.82,,,,26215.69,,,,,,,67174.73,,,,89948.08,,,,137057.24,,,,199736.39,,,,447767.79,,,,,,62197.96,,,,76338.72,,,,124690.67,,,,161129.07,,,,254427.56,,,,815083.14,,,,,,,,,,,,,,,,,,,,,,,2.222,1.818
