,Name,Location,Type,Latitude,Longitude,Elevation (m)
898,"Negro, Cerro",Nicaragua,Cinder Cone,12.51,-86.7,728.0
899,Nejapa-Miraflores,Nicaragua,Fissure Vents,12.12,-86.32,360.0
900,Nemo Peak,Kuril Is,Caldera,49.57,154.81,1018.0
901,Nemrut Dagi,Turkey,Stratovolcano,38.65,42.23,2948.0
902,"Nevada,  Sierra",Chile-N,Complex Volcano,-26.48,-68.58,6127.0
903,Nevis Peak,W Indies,Stratovolcano,17.15,-62.58,985.0
904,Newberry,US-Oregon,Shield Volcano,43.72,-121.23,2434.0
905,Newer Volcanics Prov,Australia,Shield Volcano,-37.77,142.5,1011.0
906,Ngaoundere  Plateau,Africa-W,Volcanic Field,7.25,13.67,
907,Ngozi,Africa-E,Caldera,-8.97,33.57,2622.0
908,"Nicholson,  Cerro",Perú,Cinder Cone,-16.26,-71.73,2520.0
909,Nieuwerkerk,Banda Sea,Submarine Volcano,-6.6,124.68,-2285.0
910,Niigata-Yake-yama,Honshu-Japan,Lava Dome,36.92,138.04,2400.0
911,Nii-jima,Izu Is-Japan,Lava Domes,34.39,139.27,432.0
912,Nikko,Volcano Is-Japan,Submarine Volcano,23.08,142.31,-391.0
913,Nikko-Shirane,Honshu-Japan,Shield Volcano,36.8,139.38,2578.0
914,Nila,Banda Sea,Stratovolcano,-6.73,129.5,781.0
915,Nipesotsu-Maruyama,Hokkaido-Japan,Stratovolcano,43.45,143.04,2013.0
916,Niseko,Hokkaido-Japan,Stratovolcano,42.88,140.63,1154.0
917,Nishino-shima,Volcano Is-Japan,Caldera,27.27,140.88,38.0
918,Nisyros,Greece,Stratovolcano,36.59,27.16,698.0
919,Niuafo'ou,Tonga-SW Pacific,Shield Volcano,-15.6,-175.63,260.0
920,Norikura,Honshu-Japan,Stratovolcano,36.1,137.56,3026.0
921,North Gorda Ridge,Pacific-NE,Submarine Volcano,42.67,-126.78,-3000.0
922,North Island,Africa-E,Tuff Cone,4.07,36.05,520.0
923,North Sister Field,US-Oregon,Complex Volcano,44.17,-121.77,3074.0
924,North  Vate,Vanuatu-SW Pacific,Stratovolcano,-17.47,168.35,594.0
925,Northern EPR-Segment RO2,Pacific-E,Submarine Volcano,16.55,-105.32,-2700.0
926,Northern  EPR-Segment RO3,Pacific-E,Submarine Volcano,15.83,-105.43,-2300.0
927,Nosy-Be,Madagascar,Cinder Cone,-13.32,48.48,214.0
928,Novarupta,Alaska Peninsula,Caldera,58.27,-155.16,841.0
929,Nuevo Mundo,Bolivia,Lava Domes,-19.78,-66.48,5438.0
930,Numazawa,Honshu-Japan,Shield Volcano,37.45,139.58,1100.0
931,Nunivak Island,Alaska-W,Shield Volcano,60.02,-166.33,511.0
932,NW  Eifuku,Volcano Is-Japan,Submarine Volcano,21.49,144.04,-1535.0
933,NW Rota-1,Mariana Is-C Pacific,Submarine Volcano,14.6,144.78,-517.0
934,Nyambeni Hills,Africa-E,Shield Volcano,0.23,37.87,750.0
935,Nyamuragira,Africa-C,Shield Volcano,-1.41,29.2,3058.0
936,Nyiragongo,Africa-C,Stratovolcano,-1.52,29.25,3470.0
937,Nylgimelkin,Kamchatka,Shield Volcano,57.97,160.65,1764.0
938,O'a Caldera,Ethiopia,Caldera,7.47,38.58,2075.0
939,Oahu Island,US-Hawaii,,,,
940,Ofu-Olosega,Samoa-SW Pacific,Shield Volcano,-14.18,-169.62,639.0
941,"Ojos del Salado,  Nevados",Chile-N,Stratovolcano,-27.12,-68.55,6887.0
942,Oka Plateau,Russia-SE,Cinder Cone,52.7,98.98,2077.0
943,Okataina,New Zealand,Lava Domes,-38.12,176.5,1111.0
944,Oki-Dogo,Honshu-Japan,Shield Volcano,36.18,133.33,151.0
945,Okmok,Aleutian Is,Shield Volcano,53.43,-168.13,1073.0
946,Oku Volc Field,Africa-W,Stratovolcano,6.25,10.5,3011.0
947,Ol Doinyo Lengai,Africa-E,Stratovolcano,-2.77,35.91,2962.0
948,Ol Kokwe,Africa-E,Shield Volcano,0.62,36.08,1130.0
949,Olca-Paruma,Chile-N,Stratovolcano,-20.93,-68.48,5407.0
950,Olkaria,Africa-E,Pumice Cone,-0.9,36.29,2434.0
951,Olkoviy  Volc Group,Kamchatka,Volcanic Field,52.02,157.53,681.0
952,Ollagüe,Chile-N,Stratovolcano,-21.3,-68.18,5868.0
953,Olot  Volc Field,Spain,Pyroclastic Cone,42.17,2.53,893.0
954,Omanago Group,Honshu-Japan,Lava Domes,36.79,139.51,2367.0
955,On-take,Honshu-Japan,Complex Volcano,35.89,137.48,3063.0
956,Opala,Kamchatka,Caldera,52.54,157.34,2475.0
957,Öraefajökull,Iceland-SE,Stratovolcano,64.0,-16.65,2119.0
958,"Orizaba, Pico de",México,Stratovolcano,19.03,-97.27,5675.0
959,Orosí,Costa Rica,Stratovolcano,10.98,-85.47,1659.0
960,Oshima,Izu  Is-Japan,Stratovolcano,34.72,139.4,764.0
961,Oshima-Oshima,Hokkaido-Japan,Stratovolcano,41.51,139.37,737.0
962,Osore-yama,Honshu-Japan,Stratovolcano,41.28,141.12,879.0
963,Osorno,Chile-S,Stratovolcano,-41.1,-72.49,2652.0
964,Ostanets,Kamchatka,Shield Volcano,52.15,157.32,719.0
965,Ostry,Kamchatka,Stratovolcano,58.18,160.82,2552.0
966,Otdelniy,Kamchatka,Shield Volcano,52.22,157.43,791.0
967,"Overo,  Cerro",Chile-N,Maar,23.52,-67.67,4555.0
968,Ozernoy,Kamchatka,Shield Volcano,51.88,157.38,562.0
969,Pacaya,Guatemala,Complex Volcano,14.38,-90.6,2552.0
970,Paco,Mindanao-Philippines,Stratovolcano,9.59,125.52,524.0
971,Pagan,Mariana Is-C Pacific,Stratovolcano,18.13,145.8,570.0
972,Pago,New Britain-SW Pac,Caldera,-5.58,150.52,742.0
973,Paka,Africa-E,Shield Volcano,0.92,36.18,1697.0
974,Palei-Aike  Volc Field,Chile-S,Cinder Cone,-52.0,-70.0,282.0
975,Palena Volc Group,Chile-S,Cinder Cone,-43.78,-72.47,
976,Palomo,Chile-C,Stratovolcano,-34.61,-70.3,4860.0
977,Paluweh,Lesser Sunda Is,Stratovolcano,-8.32,121.71,875.0
978,Pampa  Luxsar,Bolivia,Volcanic Field,-20.85,-68.2,5543.0
979,Panarea,Italy,Stratovolcano,38.63,15.07,421.0
980,Pantelleria,Italy,Shield Volcano,36.77,12.02,836.0
981,"Pantoja, Cerro",Chile-C,Stratovolcano,-40.77,-71.95,2024.0
982,Papandayan,Java,Stratovolcano,-7.32,107.73,2665.0
983,Papayo,México,Lava Dome,19.31,-98.7,3600.0
984,Paracutin,Mexico,Cinder Cone,19.5,-102.2,3170.0
985,Parinacota,Chile-N,Stratovolcano,-18.17,-69.15,6348.0
986,Parker,Mindanao-Philippines,Stratovolcano,6.11,124.89,1824.0
987,Patah,Sumatra,Unknown,-4.27,103.3,2817.0
988,Patoc,Luzon-Philippines,Stratovolcano,17.15,120.98,1865.0
989,Patuha,Java,Stratovolcano,-7.16,107.4,2434.0
990,Paulet,Antarctica,Cinder Cone,-63.58,-55.77,353.0
991,Pauzhetka,Kamchutka,Caldera,51.43,156.93,1331.0
992,Pavlof,Alaska Peninsula,Stratovolcano,55.42,-161.89,2519.0
993,Pavlof Sister,Alaska Peninsula,Stratovolcano,55.45,-161.84,2142.0
994,Payún  Matru,Argentina,Shield Volcano,-36.42,-69.2,3680.0
995,Peinado,Argentina,Stratovolcano,-26.62,-68.15,5740.0
996,Pelée,W Indies,Stratovolcano,14.82,-61.17,1397.0
997,Penanggungan,Java,Stratovolcano,-7.62,112.63,1653.0
998,Pendan,Sumatra,Unknown,-2.82,102.02,
999,Penguin Island,Antarctica,Stratovolcano,-62.1,-57.93,180.0
1000,Perbakti-Gagak,Java,Stratovolcano,-6.75,106.7,1699.0
1001,Petacas,Colombia,Lava Dome,1.57,-76.78,4054.0
1002,Peter  I Island,Antarctica,Shield Volcano,-68.85,-90.58,1640.0
1003,Peuet  Sague,Sumatra,Complex Volcano,4.91,96.33,2801.0
1004,Pico,Azores,Stratovolcano,38.47,-28.4,2351.0
1005,Picos Volc System,Azores,Pyroclastic Cone,37.78,-25.67,350.0
1006,Piip,Kamchatka-E of,Submarine Volcano,55.42,167.33,-300.0
1007,"Pilas, Las",Nicaragua,Complex Volcano,12.5,-86.69,1088.0
1008,Pinacate,México,Cinder Cone,31.77,-113.5,1200.0
1009,Pinatubo,Luzon-Philippines,Stratovolcano,15.13,120.35,1486.0
1010,Pinta,Galápagos,Shield Volcano,0.58,-90.75,780.0
1011,Piratkovsky,Kamchatka,Stratovolcano,52.11,157.85,1322.0
1012,Pisgah Lava Field,US-California,Lava Field,34.75,-115.38,774.0
1013,Planchón-Peteroa,Chile-C,Stratovolcano,-35.24,-70.57,4107.0
1014,"Plat  Pays, Morne",W Indies,Stratovolcano,15.26,-61.34,940.0
1015,Platanar,Costa Rica,Stratovolcano,10.3,-84.37,2267.0
1016,"Pleiades,  The",Antarctica,Stratovolcano,-72.67,165.5,3040.0
1017,Plosky,Kamchatka,Shield Volcano,55.2,158.47,1236.0
1018,Plosky,Kamchatka,Shield Volcano,57.83,160.25,1255.0
1019,Poás,Costa Rica,Stratovolcano,10.2,-84.23,2708.0
1020,Pocdol  Mountains,Luzon-Philippines,Compound Volcano,13.05,123.96,1102.0
1021,Poco Leok,Lesser Sunda Is,Stratovolcano,-8.68,120.48,1675.0
1022,Pogranychny,Kamchatka,Shield Volcano,56.85,159.8,1427.0
1023,Popa,SE Asia,Stratovolcano,20.92,95.25,1518.0
1024,Popocatépetl,México,Stratovolcano,19.02,-98.62,5426.0
1025,Porak,Armenia,Stratovolcano,40.02,45.78,2800.0
1026,"Possession,  Ile de la",Indian O.-S,Stratovolcano,-46.42,51.75,934.0
1027,Prestahnukur,Iceland-SW,Subglacial Volcano,64.6,-20.58,1390.0
1028,Prevo Peak,Kuril Is,Stratovolcano,47.02,152.12,1360.0
1029,"Prieto, Cerro",México,Lava Dome,32.42,-115.31,223.0
1030,Prince  Edward Island,Indian O.,Shield Volcano,-46.63,37.95,672.0
1031,Protector Shoal,Antarctica,Submarine Volcano,-55.92,-28.08,-27.0
1032,Puesto  Cortaderas,Argentina,Pyroclastic Cone,-37.57,-69.62,970.0
1033,Pular,Chile-N,Stratovolcano,-24.19,-68.05,6233.0
1034,Pulosari,Java,Stratovolcano,-6.34,105.98,1346.0
1035,Pululagua,Ecuador,Caldera,0.04,-78.46,3356.0
1036,Puntiagudo-Cordón  Cenizos,Chile-C,Stratovolcano,-40.97,-72.26,2493.0
1037,Puracé,Colombia,Stratovolcano,2.32,-76.4,4650.0
1038,Purico  Complex,Chile-N,Pyroclastic Shield,-23.0,-67.75,5703.0
1039,Putana,Chile-N,Stratovolcano,-22.55,-67.85,5890.0
1040,Puyehue-Cordón  Caulle,Chile-C,Stratovolcano,-40.59,-72.12,2236.0
1041,Puyuhuapi,Chile-S,Cinder Cone,-44.3,-72.53,524.0
1042,Qal'eh Hasan Ali,Iran,Maars,29.4,57.57,
1043,Qualibou,W Indies,Caldera,13.83,-61.05,777.0
1044,Quetrupillan,Chile-C,Stratovolcano,-39.5,-71.7,2360.0
1045,Quezaltepeque,Guatemala,Volcanic Field,14.57,-89.45,1200.0
1046,"Quill, The",W  Indies,Stratovolcano,17.48,-62.96,601.0
1047,Quilotoa,Ecuador,Caldera,-0.85,-78.9,3914.0
1048,Quimsachata,Perú,Lava Dome,-14.2,-71.33,3923.0
1049,Rabaul,New  Britain-SW Pac,Pyroclastic Shield,-4.27,152.2,688.0
1050,Ragang,Mindanao-Philippines,Stratovolcano,7.7,124.5,2815.0
1051,"Rahah, Harrat ar",Arabia-W,Volcanic Field,27.8,36.17,1950.0
1052,"Rahat, Harrat",Arabia-W,Volcanic Field,23.08,39.78,1744.0
1053,Raikoke,Kuril  Is,Stratovolcano,48.29,153.25,551.0
1054,Rainier,US-Washington,Stratovolcano,46.85,-121.76,4392.0
1055,Rajabasa,Sumatra,Stratovolcano,-5.78,105.63,1281.0
1056,Ranakah,Lesser Sunda Is,Lava Domes,-8.62,120.52,2350.0
1057,Ranau,Sumatra,Caldera,-4.83,103.92,1881.0
1058,Raoul Island,Kermadec Is,Stratovolcano,-29.27,-177.92,516.0
1059,Rasshua,Kuril  Is,Stratovolcano,47.77,153.02,956.0
1060,Raung,Java,Stratovolcano,-8.13,114.04,3332.0
1061,Rausu,Hokkaido-Japan,Stratovolcano,44.07,145.13,1660.0
1062,Recheschnoi,Aleutian Is,Stratovolcano,53.16,-168.54,1984.0
1063,Reclus,Chile-S,Cinder Cone,-50.96,-73.59,1000.0
1064,Redoubt,Alaska-SW,Stratovolcano,60.49,-152.74,3108.0
1065,Reporoa,New  Zealand,Caldera,-38.42,176.33,592.0
1066,Resago,Chile-C,Cinder Cone,-36.45,-70.92,1890.0
1067,Reventador,Ecuador,Stratovolcano,-0.08,-77.66,3562.0
1068,Reykjanes,Iceland-SW,Crater Rows,63.88,-22.5,230.0
1069,Reykjaneshryggur,Iceland-SW,Submarine Volcano,63.67,-23.33,80.0
1070,Rincón de la Vieja,Costa Rica,Complex Volcano,10.83,-85.32,1916.0
1071,Rinjani,Lesser  Sunda Is,Stratovolcano,-8.42,116.47,3726.0
1072,Río Murta,Chile-S,Pyroclastic Cone,-46.17,-72.67,
1073,Risco Plateado,Argentina,Stratovolcano,-34.93,-70.0,4999.0
1074,Rishiri,Hokkaido-Japan,Stratovolcano,45.18,141.25,1721.0
1075,Ritter Island,New  Guinea-NE of,Stratovolcano,-5.52,148.12,140.0
1076,Robinson Crusoe,Chile-Is,Shield Volcano,-33.66,-78.85,922.0
1077,Robledo,Argentina,Caldera,-26.77,-67.72,4400.0
1078,Rocard,Society Is-C Pacific,Submarine Volcano,-17.64,-148.6,-2100.0
1079,Romanovka,Kamchatka,Stratovolcano,55.65,158.8,1442.0
1080,Romeral,Colombia,Stratovolcano,5.21,-75.36,3858.0
1081,Rota,Nicaragua,Stratovolcano,12.55,-86.75,832.0
1082,Roundtop,Aleutian Is,Stratovolcano,54.8,-163.59,1871.0
1083,Royal Society Range,Antarctica,Cinder Cone,-78.25,163.33,3000.0
1084,Ruang,Sangihe Is-Indonesia,Stratovolcano,2.3,125.37,725.0
1085,Ruapehu,New  Zealand,Stratovolcano,-39.28,175.57,2797.0
1086,Ruby,Mariana Is-C Pacific,Submarine Volcano,15.62,145.57,-230.0
1087,Rudakov,Kuril  Is,Stratovolcano,45.88,149.83,542.0
1088,"Ruiz, Nevado del",Colombia,Stratovolcano,4.9,-75.32,5321.0
1089,Rumble II West,New  Zealand,Submarine Volcano,-35.35,178.53,1200.0
1090,Rumble III,New Zealand,Submarine Volcano,-35.75,178.48,-220.0
1091,Rumble IV,New  Zealand,Submarine Volcano,-36.13,178.05,500.0
1092,Rumble V,New Zealand,Submarine Volcano,-36.14,178.2,400.0
1093,Rungwe,Africa-E,Stratovolcano,-9.13,33.67,2961.0
1094,Saba,W Indies,Stratovolcano,17.63,-63.23,887.0
1095,Sabalan,Iran,Stratovolcano,38.25,47.92,4811.0
1096,Sabancaya,Perú,Stratovolcano,-15.78,-71.85,5967.0
1097,Sahand,Iran,Stratovolcano,37.75,46.43,3707.0
1098,Sairecabur,Chile-N,Stratovolcano,-22.72,-67.89,5971.0
1099,Sakar,New Guinea-NE of,Stratovolcano,-5.41,148.09,992.0
1100,Sakura-jima,Kyushu-Japan,Stratovolcano,31.59,130.66,1117.0
1101,Salak,Java,Stratovolcano,-6.72,106.73,2211.0
1102,San Borja Volc Field,México,Cinder Cone,28.5,-113.75,1360.0
1103,San  Carlos,Africa-W,Shield Volcano,3.35,8.52,2260.0
1104,San Cristóbal,Nicaragua,Stratovolcano,12.7,-87.0,1745.0
1105,San  Cristóbal,Galápagos,Shield Volcano,-0.88,-89.5,759.0
1106,San Diego,El Salvador,Volcanic Field,14.27,-89.48,781.0
1107,San  Félix,Chile-Is,Shield Volcano,-26.28,-80.12,193.0
1108,San Joaquin,Africa-W,Shield Volcano,3.35,8.63,2009.0
1109,San  Jorge,Azores,Fissure Vent,38.65,-28.08,1053.0
1110,San José,Chile-C,Stratovolcano,-33.78,-69.9,5856.0
1111,"San  Luis, Isla",México,Tuff Cone,29.97,-114.4,180.0
1112,San Martín,México,Shield Volcano,18.57,-95.2,1650.0
1113,San  Miguel,El Salvador,Stratovolcano,13.43,-88.27,2130.0
1114,San Pablo Volc Field,Luzon-Philippines,Stratovolcano,14.12,121.3,1090.0
1115,San  Pedro,Chile-N,Stratovolcano,-21.88,-68.4,6145.0
1116,San Pedro-Pellado,Chile-C,Stratovolcano,-35.99,-70.85,3621.0
1117,San  Quintín Volc Field,México,Cinder Cone,30.47,-116.0,260.0
1118,San Salvador,El Salvador,Stratovolcano,13.73,-89.29,1893.0
1119,San Vicente,El Salvador,Stratovolcano,13.6,-88.84,2182.0
1120,Sanbe,Honshu-Japan,Stratovolcano,35.13,132.62,1126.0
1121,Sand  Mountain Field,US-Oregon,Cinder Cone,44.38,-121.93,1664.0
1122,Sanford,Alaska-E,Shield Volcano,62.22,-144.13,4949.0
1123,Sangangüey,México,Stratovolcano,21.45,-104.73,2340.0
1124,Sangay,Ecuador,Stratovolcano,-2.0,-78.34,5230.0
1125,Sangeang  Api,Lesser Sunda Is,Complex Volcano,-8.2,119.07,1949.0
1126,"Sano, Wai",Lesser Sunda Is,Caldera,-8.72,120.02,903.0
1127,Santa Ana,El Salvador,Stratovolcano,13.85,-89.63,2381.0
1128,Santa Clara,US-Utah,Volcanic Field,37.26,-113.63,1465.0
1129,Santa  Cruz,Galápagos,Shield Volcano,-0.62,-90.33,864.0
1130,Santa Isabel,Africa-W,Shield Volcano,3.58,8.75,3007.0
1131,Santa  Isabel,Colombia,Shield Volcano,4.82,-75.37,4950.0
1132,Santa María,Guatemala,Stratovolcano,14.76,-91.55,3772.0
1133,Santiago,Galápagos,Shield Volcano,-0.22,-90.77,920.0
1134,"Santiago, Cerro",Guatemala,Volcanic Field,14.33,-89.87,1192.0
1135,Santo  Tomas,Luzon-Philippines,Stratovolcano,16.33,120.55,2260.0
1136,Santorini,Greece,Shield Volcano,36.4,25.4,367.0
1137,Sao  Tome,Africa-W,Shield Volcano,0.2,6.58,2024.0
1138,Sao Vicente,Cape Verde Is,Stratovolcano,16.85,-24.97,725.0
1139,Sara  Sara,Perú,Stratovolcano,-15.33,-73.45,5522.0
1140,Sarigan,Mariana Is-C Pacific,Stratovolcano,16.71,145.78,538.0
1141,Sarik-Gajah,Sumatra,Pyroclastic Cone,0.08,100.2,
1142,Sarychev Peak,Kuril Is,Stratovolcano,48.09,153.2,1496.0
1143,Satah  Mountain,Canada,Volcanic Field,52.47,-124.7,1921.0
1144,Savai'i,Samoa-SW Pacific,Shield Volcano,-13.61,-172.53,1858.0
1145,Savo,Solomon Is-SW Pacific,Stratovolcano,-9.13,159.82,485.0
1146,"Sawâd, Harra es-",Arabia-S,Volcanic Field,13.58,46.12,1737.0
1147,Schmidt,Kamchatka,Shield Volcano,54.92,160.63,2020.0
1148,Seal Nunataks Group,Antarctica,Pyroclastic Cone,-65.03,-60.05,368.0
1149,Seamount  X,Mariana Is-C Pacific,Submarine Volcano,13.25,144.02,-1230.0
1150,Sedankinsky,Kamchatka,Shield Volcano,57.27,160.08,1241.0
1151,Segererua  Plateau,Africa-E,Pyroclastic Cone,1.57,37.9,699.0
1152,Seguam,Aleutian Is,Stratovolcano,52.32,-172.51,1054.0
1153,Segula,Aleutian Is,Stratovolcano,52.02,178.14,1160.0
1154,Sekincau Belirang,Sumatra,Caldera,-5.12,104.32,1719.0
1155,Semeru,Java,Stratovolcano,-8.11,112.92,3676.0
1156,Semisopochnoi,Aleutian Is,Stratovolcano,51.93,179.58,1221.0
1157,Sempu,Sulawesi-Indonesia,Caldera,1.13,124.76,1549.0
1158,Serdán-Oriental,México,Tuff Cone,19.27,-97.47,3485.0
1159,Sergief,Aleutian Is,Stratovolcano,52.05,-174.95,560.0
1160,Serua,Banda Sea,Stratovolcano,-6.3,130.0,641.0
1161,Sessagara,New Guinea,Pyroclastic Cone,-9.48,149.13,370.0
1162,Sete Cidades,Azores,Stratovolcano,37.87,-25.78,856.0
